"HPID","MPID","MPterm","HPterm"
"HP:0000662","MP:0008144","nyctalopia","Nyctalopia"
"HP:0000667","MP:0006249","phthisis bulbi","Phthisis bulbi"
"HP:0000670","MP:0030101","carious teeth","Carious teeth"
"HP:0000674","MP:0030610","absent teeth","Anodontia"
"HP:0000679","MP:0030496","taurodontia","Taurodontia"
"HP:0000684","MP:0003053","delayed tooth eruption","Delayed eruption of teeth"
"HP:0000689","MP:0000120","malocclusion","Dental malocclusion"
"HP:0000691","MP:0030088","microdontia","Microdontia"
"HP:0000692","MP:0030540","misaligned teeth","Tooth malposition"
"HP:0000698","MP:0030499","conical tooth","Conical tooth"
"HP:0000704","MP:0030132","periodontium inflammation","Periodontitis"
"HP:0000733","MP:0001409","increased stereotypic behavior","Motor stereotypy"
"HP:0000733","MP:0001408","stereotypic behavior","Motor stereotypy"
"HP:0000752","MP:0001399","hyperactivity","Hyperactivity"
"HP:0000762","MP:0008814","decreased nerve conduction velocity","Decreased nerve conduction velocity"
"HP:0000765","MP:0004134","abnormal chest morphology","Abnormal thorax morphology"
"HP:0000766","MP:0000157","abnormal sternum morphology","Abnormal sternum morphology"
"HP:0000767","MP:0012514","pectus excavatum","Pectus excavatum"
"HP:0000768","MP:0031277","pectus carinatum","Pectus carinatum"
"HP:0000772","MP:0000150","abnormal rib morphology","Abnormal rib morphology"
"HP:0000773","MP:0004672","short ribs","Short ribs"
"HP:0000776","MP:0003924","diaphragmatic hernia","Congenital diaphragmatic hernia"
"HP:0000777","MP:0001823","thymus hypoplasia","Abnormality of the thymus"
"HP:0000778","MP:0001823","thymus hypoplasia","Hypoplasia of the thymus"
"HP:0000778","MP:0000706","small thymus","Hypoplasia of the thymus"
"HP:0000782","MP:0000149","abnormal scapula morphology","Abnormal scapula morphology"
"HP:0000787","MP:0002708","nephrolithiasis","Nephrolithiasis"
"HP:0000789","MP:0001924","infertility","Infertility"
"HP:0000790","MP:0005161","hematuria","Hematuria"
"HP:0000796","MP:0011801","urethra obstruction","Urethral obstruction"
"HP:0000798","MP:0002687","oligozoospermia","Oligospermia"
"HP:0000803","MP:0000522","kidney cortex cyst","Renal cortical cysts"
"HP:0000821","MP:0003503","decreased activity of thyroid gland","Hypothyroidism"
"HP:0000822","MP:0000231","hypertension","Hypertension"
"HP:0000823","MP:0001938","delayed sexual maturation","Delayed puberty"
"HP:0000826","MP:0003378","early sexual maturation","Precocious puberty"
"HP:0000829","MP:0003433","decreased activity of parathyroid","Hypoparathyroidism"
"HP:0000835","MP:0000640","adrenal gland hypoplasia","Adrenal hypoplasia"
"HP:0000835","MP:0002768","small adrenal glands","Adrenal hypoplasia"
"HP:0000836","MP:0003502","increased activity of thyroid gland","Hyperthyroidism"
"HP:0000837","MP:0003362","increased circulating gonadotropin level","Increased circulating gonadotropin level"
"HP:0000842","MP:0002079","increased circulating insulin level","Hyperinsulinemia"
"HP:0000843","MP:0003432","increased activity of parathyroid","Hyperparathyroidism"
"HP:0000845","MP:0003506","acromegaly","Elevated circulating growth hormone concentration"
"HP:0000848","MP:0003352","increased circulating renin level","Increased circulating renin level"
"HP:0000853","MP:0005355","enlarged thyroid gland","Goiter"
"HP:0000855","MP:0005331","insulin resistance","Insulin resistance"
"HP:0000859","MP:0002666","increased circulating aldosterone level","Hyperaldosteronism"
"HP:0000860","MP:0003494","parathyroid hypoplasia","Parathyroid hypoplasia"
"HP:0000870","MP:0005124","increased circulating prolactin level","Increased circulating prolactin concentration"
"HP:0000870","MP:0005139","increased prolactin level","Increased circulating prolactin concentration"
"HP:0000879","MP:0004321","short sternum","Short sternum"
"HP:0000882","MP:0004343","small scapula","Hypoplastic scapulae"
"HP:0000882","MP:0004344","scapular bone hypoplasia","Hypoplastic scapulae"
"HP:0000883","MP:0004674","thin ribs","Thin ribs"
"HP:0000885","MP:0004676","wide ribs","Broad ribs"
"HP:0000889","MP:0005298","abnormal clavicle morphology","Abnormal clavicle morphology"
"HP:0000894","MP:0004337","clavicle hypoplasia","Short clavicles"
"HP:0000897","MP:0030884","rachitic rosary","Rachitic rosary"
"HP:0000902","MP:0000154","rib fusion","Rib fusion"
"HP:0000921","MP:0000151","absent ribs","Missing ribs"
"HP:0000921","MP:0003345","decreased rib number","Missing ribs"
"HP:0000923","MP:0030884","rachitic rosary","Beaded ribs"
"HP:0000926","MP:0011175","platyspondylia","Platyspondyly"
"HP:0000932","MP:0030309","abnormal posterior cranial fossa morphology","Abnormal posterior cranial fossa morphology"
"HP:0000938","MP:0000063","decreased bone mineral density","Osteopenia"
"HP:0000939","MP:0000066","osteoporosis","Osteoporosis"
"HP:0000952","MP:0000611","jaundice","Jaundice"
"HP:0000953","MP:0030926","increased skin pigmentation","Hyperpigmentation of the skin"
"HP:0000958","MP:0003853","dry skin","Dry skin"
"HP:0000961","MP:0001575","cyanosis","Cyanosis"
"HP:0000962","MP:0001242","hyperkeratosis","Hyperkeratosis"
"HP:0000962","MP:0001219","thick epidermis","Hyperkeratosis"
"HP:0000963","MP:0001199","thin skin","Thin skin"
"HP:0000966","MP:0013371","hypohidrosis","Hypohidrosis"
"HP:0000967","MP:0008816","petechiae","Petechiae"
"HP:0000969","MP:0001785","edema","Edema"
"HP:0000970","MP:0013370","anhidrosis","Anhidrosis"
"HP:0000970","MP:0013368","abnormal sweat gland physiology","Anhidrosis"
"HP:0000971","MP:0000674","abnormal sweat gland morphology","Abnormal sweat gland morphology"
"HP:0000973","MP:0005421","loose skin","Cutis laxa"
"HP:0000975","MP:0013372","hyperhidrosis","Hyperhidrosis"
"HP:0000978","MP:0009276","ecchymosis","Bruising susceptibility"
"HP:0000979","MP:0011515","purpura","Purpura"
"HP:0000980","MP:0003717","pallor","Pallor"
"HP:0000988","MP:0031103","skin rash","Skin rash"
"HP:0000992","MP:0001999","photosensitivity","Cutaneous photosensitivity"
"HP:0000992","MP:0001202","skin photosensitivity","Cutaneous photosensitivity"
"HP:0000998","MP:0000412","excessive hair","Hypertrichosis"
"HP:0001000","MP:0002095","abnormal skin pigmentation","Abnormality of skin pigmentation"
"HP:0001004","MP:0003390","lymphedema","Lymphedema"
"HP:0001006","MP:0000414","alopecia","obsolete Hypotrichosis"
"HP:0001009","MP:0004175","telangiectases","Telangiectasia"
"HP:0001010","MP:0011627","decreased skin pigmentation","Hypopigmentation of the skin"
"HP:0001010","MP:0005408","hypopigmentation","Hypopigmentation of the skin"
"HP:0001019","MP:0003454","erythroderma","Erythroderma"
"HP:0001028","MP:0014086","obsolete hemangioma","Hemangioma"
"HP:0001036","MP:0003427","parakeratosis","Parakeratosis"
"HP:0001045","MP:0010016","variable depigmentation","Vitiligo"
"HP:0001051","MP:0009792","seborrheic dermatitis","Seborrheic dermatitis"
"HP:0001072","MP:0001200","thick skin","Thickened skin"
"HP:0001081","MP:0002830","gallstones","Cholelithiasis"
"HP:0001082","MP:0003251","gallbladder inflammation","Cholecystitis"
"HP:0001083","MP:0005263","obsolete ectopia lentis","Ectopia lentis"
"HP:0001085","MP:0006223","optic nerve swelling","Papilledema"
"HP:0001089","MP:0006228","iris atrophy","Iris atrophy"
"HP:0001093","MP:0001330","abnormal optic nerve morphology","Optic nerve dysplasia"
"HP:0001096","MP:0006194","keratoconjunctivitis","Keratoconjunctivitis"
"HP:0001097","MP:0001337","dry eyes","Keratoconjunctivitis sicca"
"HP:0001097","MP:0013466","keratoconjunctivitis sicca","Keratoconjunctivitis sicca"
"HP:0001098","MP:0002864","abnormal ocular fundus morphology","Abnormal fundus morphology"
"HP:0001107","MP:0006159","ocular albinism","Ocular albinism"
"HP:0001114","MP:0003692","xanthoma","Xanthelasma"
"HP:0001115","MP:0010260","posterior polar cataract","Posterior polar cataract"
"HP:0001126","MP:0005242","cryptophthalmos","Cryptophthalmos"
"HP:0001134","MP:0010259","anterior polar cataract","Anterior polar cataract"
"HP:0001138","MP:0006222","optic neuropathy","Optic neuropathy"
"HP:0001142","MP:0002794","lenticonus","Lenticonus"
"HP:0001153","MP:0003533","bifid vagina","Septate vagina"
"HP:0001156","MP:0002544","brachydactyly","Brachydactyly"
"HP:0001159","MP:0000564","syndactyly","Syndactyly"
"HP:0001166","MP:0006296","arachnodactyly","Arachnodactyly"
"HP:0001172","MP:0010772","abnormal pollex morphology","Abnormal thumb morphology"
"HP:0001196","MP:0012304","short umbilical cord","Short umbilical cord"
"HP:0001250","MP:0002064","seizures","Seizure"
"HP:0001251","MP:0001405","impaired coordination","Ataxia"
"HP:0001251","MP:0001393","ataxia","Ataxia"
"HP:0001252","MP:0004144","hypotonia","Hypotonia"
"HP:0001254","MP:0005202","lethargy","Lethargy"
"HP:0001257","MP:0012051","spasticity","Spasticity"
"HP:0001257","MP:0004143","muscle hypertonia","Spasticity"
"HP:0001269","MP:0031201","hemiparesis","Hemiparesis"
"HP:0001272","MP:0014185","cerebellum atrophy","Cerebellar atrophy"
"HP:0001273","MP:0000780","abnormal corpus callosum morphology","Abnormal corpus callosum morphology"
"HP:0001274","MP:0002196","absent corpus callosum","Agenesis of corpus callosum"
"HP:0001276","MP:0012052","hypertonicity","Hypertonia"
"HP:0001279","MP:0031302","syncope","Syncope"
"HP:0001284","MP:0031122","areflexia","Areflexia"
"HP:0001287","MP:0031110","meningitis","Meningitis"
"HP:0001288","MP:0001406","abnormal gait","Gait disturbance"
"HP:0001291","MP:0001056","abnormal cranial nerve morphology","Abnormal cranial nerve morphology"
"HP:0001298","MP:0013806","encephalopathy","Encephalopathy"
"HP:0001308","MP:0030216","tongue muscle fasciculation","Tongue fasciculations"
"HP:0001310","MP:0003314","dysmetria","Dysmetria"
"HP:0001311","MP:0002272","abnormal nervous system electrophysiology","Abnormal nervous system electrophysiology"
"HP:0001317","MP:0000849","abnormal cerebellum morphology","Abnormal cerebellum morphology"
"HP:0001320","MP:0000866","cerebellum vermis hypoplasia","Cerebellar vermis hypoplasia"
"HP:0001321","MP:0000852","small cerebellum","Cerebellar hypoplasia"
"HP:0001321","MP:0000851","cerebellum hypoplasia","Cerebellar hypoplasia"
"HP:0001322","MP:0000774","decreased brain size","obsolete Brain very small"
"HP:0001324","MP:0000747","muscle weakness","Muscle weakness"
"HP:0001332","MP:0005323","dystonia","Dystonia"
"HP:0001334","MP:0001893","non-obstructive hydrocephaly","Communicating hydrocephalus"
"HP:0001336","MP:0000243","myoclonus","Myoclonus"
"HP:0001337","MP:0000745","tremors","Tremor"
"HP:0001342","MP:0001916","intracerebral hemorrhage","Cerebral hemorrhage"
"HP:0001360","MP:0005157","holoprosencephaly","Holoprosencephaly"
"HP:0001363","MP:0000081","premature cranial suture closure","Craniosynostosis"
"HP:0001363","MP:0030392","premature fontanelle closure","Craniosynostosis"
"HP:0001363","MP:0030435","premature craniofacial suture closure","Craniosynostosis"
"HP:0001367","MP:0002932","abnormal joint morphology","Abnormal joint morphology"
"HP:0001369","MP:0002993","arthritis","Arthritis"
"HP:0001369","MP:0002933","joint inflammation","Arthritis"
"HP:0001370","MP:0003561","rheumatoid arthritis","Rheumatoid arthritis"
